Cosine Similarity: 0.5264, Euclidean Distance: 9.1250
Cosine Similarity: 0.8135, Euclidean Distance: 4.4805
Cosine Similarity: 0.7573, Euclidean Distance: 4.7734
Cosine Similarity: 0.8916, Euclidean Distance: 3.8027
Cosine Similarity: 0.7954, Euclidean Distance: 4.4805
Cosine Similarity: 0.8726, Euclidean Distance: 3.5957
Cosine Similarity: 0.7832, Euclidean Distance: 4.7344
Cosine Similarity: 0.7476, Euclidean Distance: 4.8750
Cosine Similarity: 0.8540, Euclidean Distance: 3.8457
Cosine Similarity: 0.6689, Euclidean Distance: 6.0039
Cosine Similarity: 0.5649, Euclidean Distance: 8.1719
Cosine Similarity: 0.6753, Euclidean Distance: 5.9141
Cosine Similarity: 0.6768, Euclidean Distance: 6.8164
Cosine Similarity: 0.6226, Euclidean Distance: 6.0820
Cosine Similarity: 0.5088, Euclidean Distance: 8.7031
Cosine Similarity: 0.7754, Euclidean Distance: 4.6133
Cosine Similarity: 0.8350, Euclidean Distance: 4.1289
Cosine Similarity: 0.7783, Euclidean Distance: 4.6914
Cosine Similarity: 0.5918, Euclidean Distance: 8.1719
Cosine Similarity: 0.7881, Euclidean Distance: 4.5625
Cosine Similarity: 0.7583, Euclidean Distance: 4.9219
Cosine Similarity: 0.8291, Euclidean Distance: 4.1719
Cosine Similarity: 0.6992, Euclidean Distance: 6.3438
Cosine Similarity: 0.6348, Euclidean Distance: 9.5234
Cosine Similarity: 0.8066, Euclidean Distance: 4.6445
Cosine Similarity: 0.8516, Euclidean Distance: 3.8340
Cosine Similarity: 0.8647, Euclidean Distance: 3.6777
Cosine Similarity: 0.4998, Euclidean Distance: 8.6250
Cosine Similarity: 0.9116, Euclidean Distance: 3.0918
Cosine Similarity: 0.6328, Euclidean Distance: 6.3555
Cosine Similarity: 0.5317, Euclidean Distance: 11.2188
Cosine Similarity: 0.8203, Euclidean Distance: 4.3867
Cosine Similarity: 0.8711, Euclidean Distance: 3.5898
Cosine Similarity: 0.7637, Euclidean Distance: 5.0352
Cosine Similarity: 0.7739, Euclidean Distance: 5.0508
Cosine Similarity: 0.7720, Euclidean Distance: 5.0547
Cosine Similarity: 0.7412, Euclidean Distance: 5.5898
Cosine Similarity: 0.6709, Euclidean Distance: 5.6367
Cosine Similarity: 0.5610, Euclidean Distance: 9.4844
Cosine Similarity: 0.7388, Euclidean Distance: 5.4688
Cosine Similarity: 0.8315, Euclidean Distance: 4.1484
Cosine Similarity: 0.8267, Euclidean Distance: 4.1367
Cosine Similarity: 0.6030, Euclidean Distance: 6.6133
Cosine Similarity: 0.7129, Euclidean Distance: 6.4219
Cosine Similarity: 0.8110, Euclidean Distance: 4.2734
Cosine Similarity: 0.8379, Euclidean Distance: 4.5234
Cosine Similarity: 0.6553, Euclidean Distance: 6.8555
Cosine Similarity: 0.8164, Euclidean Distance: 4.8398
Cosine Similarity: 0.6655, Euclidean Distance: 6.3359
Cosine Similarity: 0.8496, Euclidean Distance: 3.8789
Cosine Similarity: 0.6699, Euclidean Distance: 6.4297
Cosine Similarity: 0.5337, Euclidean Distance: 8.5234
Cosine Similarity: 0.8569, Euclidean Distance: 3.9922
Cosine Similarity: 0.5347, Euclidean Distance: 8.2969
Cosine Similarity: 0.7290, Euclidean Distance: 6.2227
Cosine Similarity: 0.6445, Euclidean Distance: 6.1445
Cosine Similarity: 0.8096, Euclidean Distance: 4.4688
Cosine Similarity: 0.7959, Euclidean Distance: 4.7617
Cosine Similarity: 0.7886, Euclidean Distance: 4.5078
Cosine Similarity: 0.8643, Euclidean Distance: 3.6797
Cosine Similarity: 0.7769, Euclidean Distance: 5.1055
Cosine Similarity: 0.8550, Euclidean Distance: 3.8242
Cosine Similarity: 0.8706, Euclidean Distance: 3.8789
Cosine Similarity: 0.7031, Euclidean Distance: 6.1914
Cosine Similarity: 0.8555, Euclidean Distance: 3.7852
Cosine Similarity: 0.7974, Euclidean Distance: 4.4492
Cosine Similarity: 0.8062, Euclidean Distance: 4.3359
Cosine Similarity: 0.6665, Euclidean Distance: 6.5586
Cosine Similarity: 0.6499, Euclidean Distance: 7.2969
Cosine Similarity: 0.8135, Euclidean Distance: 4.2773
Cosine Similarity: 0.7310, Euclidean Distance: 5.8516
